Date,Balance
2018-06-16,13268
2018-06-17,13239
2018-06-18,13289
2018-06-19,13280
2018-06-20,13279
2018-06-21,13326
2018-06-22,13278
2018-06-23,13357
2018-06-24,13355
2018-06-25,13318
2018-06-26,13355
2018-06-27,13353
2018-06-28,13332
2018-06-29,13353
2018-06-30,13351
2018-07-01,13347
2018-07-02,13346
2018-07-03,13287
2018-07-04,13375
2018-07-05,13435
2018-07-06,13418
2018-07-07,13469
2018-07-08,13429
2018-07-09,13522
2018-07-10,13563
2018-07-11,13620
2018-07-12,13710
2018-07-13,13796
2018-07-14,13825
2018-07-15,13860
2018-07-16,13860
2018-07-17,13909
2018-07-18,13935
2018-07-19,14023
2018-07-20,14061
2018-07-21,14115
2018-07-22,14169
2018-07-23,14255
2018-07-24,14311
2018-07-25,14368
2018-07-26,14447
2018-07-27,14448
2018-07-28,14467
2018-07-29,14492
2018-07-30,14439
2018-07-31,14442
2018-08-01,14541
2018-08-02,14497
2018-08-03,14509
2018-08-04,14582
2018-08-05,14634
2018-08-06,14678
2018-08-07,14666
2018-08-08,14610
2018-08-09,14709
2018-08-10,14685
2018-08-11,14714
2018-08-12,14719
2018-08-13,14727
2018-08-14,14803
2018-08-15,14779
2018-08-16,14872
2018-08-17,14900
2018-08-18,14916
2018-08-19,14994
2018-08-20,15065
2018-08-21,15157
2018-08-22,15120
2018-08-23,15201
2018-08-24,15252
2018-08-25,15220
2018-08-26,15276
2018-08-27,15356
2018-08-28,15446
2018-08-29,15484
2018-08-30,15446
2018-08-31,15455
2018-09-01,15499
2018-09-02,15533
2018-09-03,15594
2018-09-04,15669
2018-09-05,15612
2018-09-06,15698
2018-09-07,15644
2018-09-08,15687
2018-09-09,15767
2018-09-10,15727
2018-09-11,15713
2018-09-12,15703
2018-09-13,15772
2018-09-14,15722
2018-09-15,15681
2018-09-16,15632
2018-09-17,15716
2018-09-18,15706
2018-09-19,15653
2018-09-20,15745
2018-09-21,15708
2018-09-22,15803
2018-09-23,15848
2018-09-24,15805
2018-09-25,15834
2018-09-26,15825
2018-09-27,15793
2018-09-28,15848
2018-09-29,15936
2018-09-30,15907
2018-10-01,15852
2018-10-02,15900
2018-10-03,15961
2018-10-04,16057
2018-10-05,16106
2018-10-06,16085
2018-10-07,16096
2018-10-08,16156
2018-10-09,16211
2018-10-10,16174
2018-10-11,16117
2018-10-12,16211
2018-10-13,16253
2018-10-14,16293
2018-10-15,16381
2018-10-16,16416
2018-10-17,16356
2018-10-18,16453
2018-10-19,16414
2018-10-20,16489
2018-10-21,16506
2018-10-22,16509
2018-10-23,16494
2018-10-24,16447
2018-10-25,16390
2018-10-26,16412
2018-10-27,16423
2018-10-28,16429
2018-10-29,16513
2018-10-30,16455
2018-10-31,16499
2018-11-01,16548
2018-11-02,16584
2018-11-03,16640
2018-11-04,16731
2018-11-05,16789
2018-11-06,16760
2018-11-07,16851
2018-11-08,16839
2018-11-09,16787
2018-11-10,16819
2018-11-11,16887
2018-11-12,16927
2018-11-13,16925
2018-11-14,16885
2018-11-15,16984
2018-11-16,17017
2018-11-17,17053
2018-11-18,17140
2018-11-19,17175
2018-11-20,17239
2018-11-21,17189
2018-11-22,17235
2018-11-23,17307
2018-11-24,17362
2018-11-25,17302
2018-11-26,17265
2018-11-27,17259
2018-11-28,17306
2018-11-29,17289
2018-11-30,17252
2018-12-01,17196
2018-12-02,17217
2018-12-03,17181
2018-12-04,17190
2018-12-05,17144
2018-12-06,17170
2018-12-07,17141
2018-12-08,17198
2018-12-09,17274
2018-12-10,17340
2018-12-11,17384
2018-12-12,17400
2018-12-13,17479
2018-12-14,17541
2018-12-15,17523
2018-12-16,17554
2018-12-17,17535
2018-12-18,17484
2018-12-19,17460
2018-12-20,17519
2018-12-21,17502
2018-12-22,17506
2018-12-23,17454
2018-12-24,17414
2018-12-25,17401
2018-12-26,17421
2018-12-27,17420
2018-12-28,17362
2018-12-29,17440
2018-12-30,17505
2018-12-31,17536
2019-01-01,17503
2019-01-02,17463
2019-01-03,17546
2019-01-04,17536
2019-01-05,17558
2019-01-06,17538
2019-01-07,17509
2019-01-08,17583
2019-01-09,17591
2019-01-10,17612
2019-01-11,17595
2019-01-12,17584
2019-01-13,17558
2019-01-14,17505
2019-01-15,17461
2019-01-16,17489
2019-01-17,17439
2019-01-18,17531
2019-01-19,17558
2019-01-20,17642
2019-01-21,17610
2019-01-22,17600
2019-01-23,17681
2019-01-24,17651
2019-01-25,17627
2019-01-26,17636
2019-01-27,17653
2019-01-28,17734
2019-01-29,17738
2019-01-30,17680
2019-01-31,17738
2019-02-01,17745
2019-02-02,17786
2019-02-03,17857
2019-02-04,17841
2019-02-05,17902
2019-02-06,17904
2019-02-07,17965
2019-02-08,17966
2019-02-09,18053
2019-02-10,18106
2019-02-11,18131
2019-02-12,18196
2019-02-13,18145
2019-02-14,18098
2019-02-15,18191
2019-02-16,18139
2019-02-17,18145
2019-02-18,18111
2019-02-19,18193
2019-02-20,18271
2019-02-21,18284
2019-02-22,18363
2019-02-23,18353
2019-02-24,18300
2019-02-25,18280
2019-02-26,18284
2019-02-27,18266
2019-02-28,18295
2019-03-01,18345
2019-03-02,18432
2019-03-03,18423
2019-03-04,18484
2019-03-05,18535
2019-03-06,18535
2019-03-07,18614
2019-03-08,18657
2019-03-09,18680
2019-03-10,18647
2019-03-11,18709
2019-03-12,18664
2019-03-13,18739
2019-03-14,18781
2019-03-15,18862
2019-03-16,18807
2019-03-17,18903
2019-03-18,18982
2019-03-19,18961
2019-03-20,19031
2019-03-21,18976
2019-03-22,19073
2019-03-23,19084
2019-03-24,19069
2019-03-25,19097
2019-03-26,19042
2019-03-27,19065
2019-03-28,19029
2019-03-29,19049
2019-03-30,19058
2019-03-31,19044
2019-04-01,19097
2019-04-02,19041
2019-04-03,19093
2019-04-04,19166
2019-04-05,19223
2019-04-06,19257
2019-04-07,19321
2019-04-08,19307
2019-04-09,19252
2019-04-10,19288
2019-04-11,19361
2019-04-12,19400
2019-04-13,19443
2019-04-14,19505
2019-04-15,19510
2019-04-16,19535
2019-04-17,19502
2019-04-18,19545
2019-04-19,19643
2019-04-20,19705
2019-04-21,19761
2019-04-22,19723
2019-04-23,19811
2019-04-24,19857
2019-04-25,19860
2019-04-26,19889
2019-04-27,19894
2019-04-28,19937
2019-04-29,20010
2019-04-30,20051
2019-05-01,20044
2019-05-02,20057
2019-05-03,20040
2019-05-04,20046
2019-05-05,20082
2019-05-06,20177
2019-05-07,20190
2019-05-08,20224
2019-05-09,20268
2019-05-10,20266
2019-05-11,20339
2019-05-12,20328
2019-05-13,20378
2019-05-14,20371
2019-05-15,20467
2019-05-16,20480
2019-05-17,20425
2019-05-18,20375
2019-05-19,20441
2019-05-20,20398
2019-05-21,20357
2019-05-22,20454
2019-05-23,20469
2019-05-24,20470
2019-05-25,20521
2019-05-26,20499
2019-05-27,20502
2019-05-28,20503
2019-05-29,20569
2019-05-30,20527
2019-05-31,20574
2019-06-01,20590
2019-06-02,20596
2019-06-03,20623
2019-06-04,20594
2019-06-05,20626
2019-06-06,20581
2019-06-07,20548
2019-06-08,20521
2019-06-09,20555
2019-06-10,20541
2019-06-11,20611
2019-06-12,20683
2019-06-13,20650
2019-06-14,20672
2019-06-15,20755
2019-06-16,20737
2019-06-17,20720
2019-06-18,20710
2019-06-19,20779
2019-06-20,20720
2019-06-21,20729
2019-06-22,20735
2019-06-23,20725
2019-06-24,20783
2019-06-25,20781
2019-06-26,20826
2019-06-27,20785
2019-06-28,20779
2019-06-29,20758
2019-06-30,20819
2019-07-01,20846
2019-07-02,20940
2019-07-03,21024
2019-07-04,21032
2019-07-05,21025
2019-07-06,21122
2019-07-07,21082
2019-07-08,21176
2019-07-09,21235
2019-07-10,21202
2019-07-11,21268
2019-07-12,21266
2019-07-13,21352
2019-07-14,21398
2019-07-15,21366
2019-07-16,21315
2019-07-17,21332
2019-07-18,21420
2019-07-19,21402
2019-07-20,21415
2019-07-21,21457
2019-07-22,21538
2019-07-23,21633
2019-07-24,21575
2019-07-25,21517
2019-07-26,21539
2019-07-27,21546
2019-07-28,21611
2019-07-29,21640
2019-07-30,21737
2019-07-31,21760
2019-08-01,21730
2019-08-02,21750
2019-08-03,21770
2019-08-04,21811
2019-08-05,21840
2019-08-06,21783
2019-08-07,21800
2019-08-08,21783
2019-08-09,21826
2019-08-10,21851
2019-08-11,21895
2019-08-12,21942
2019-08-13,21916
2019-08-14,21898
2019-08-15,21884
2019-08-16,21936
2019-08-17,21994
2019-08-18,21975
2019-08-19,21962
2019-08-20,21950
2019-08-21,22034
2019-08-22,22122
2019-08-23,22145
